trip_id,start_time,end_time,headway_secs,exact_times
37973,18:30:00,21:10:00,3000,0
38177,05:15:00,18:30:00,2640,0
38046,19:00:00,22:35:00,1020,0
38045,05:35:00,19:00:00,900,0
38100,19:00:00,22:00:00,600,0
38034,18:30:00,21:30:00,2100,0
38099,05:00:00,19:00:00,600,0
38039,05:30:00,18:30:00,1800,0
38004,18:30:00,21:45:00,3600,0
38123,05:15:00,19:00:00,2400,0
38130,19:00:00,21:45:00,3240,0
38636,18:30:00,20:00:00,2880,0
38077,19:00:00,24:30:00,1200,0
38188,05:30:00,18:00:00,2160,0
38189,18:00:00,21:00:00,2880,0
38117,05:15:00,19:00:00,2400,0
38118,19:00:00,21:45:00,2400,0
38070,19:00:00,24:30:00,1200,0
38112,19:00:00,22:00:00,2460,0
38111,05:00:00,19:00:00,1800,0
38069,04:35:00,19:00:00,1080,0
38064,19:00:00,22:10:00,900,0
38183,18:00:00,21:00:00,2880,0
38058,19:00:00,22:10:00,900,0
38063,05:10:00,19:00:00,780,0
37876,04:30:00,19:00:00,960,0
37871,18:30:00,22:15:00,1020,0
37965,05:30:00,18:30:00,2400,0
37877,19:00:00,24:40:00,960,0
37928,04:15:00,19:00:00,540,0
38124,19:00:00,21:45:00,2400,0
38022,19:00:00,22:10:00,720,0
37870,05:25:00,18:30:00,960,0
38016,19:00:00,24:45:00,2160,0
37998,18:30:00,21:45:00,3600,0
38171,05:15:00,18:30:00,2640,0
37958,05:30:00,18:30:00,2400,0
37925,04:15:00,19:00:00,240,0
37939,19:00:00,22:30:00,2640,0
37997,05:55:00,18:30:00,2280,0
37927,19:00:00,24:35:00,300,0
37985,18:30:00,21:50:00,2520,0
38040,18:30:00,21:30:00,2100,0
37946,05:10:00,18:00:00,2460,0
38003,05:55:00,18:30:00,2280,0
38033,05:30:00,18:30:00,1800,0
37978,07:10:00,18:30:00,2220,0
37979,18:30:00,21:50:00,2520,0
37984,07:10:00,18:30:00,2220,0
38172,18:30:00,21:15:00,3060,0
37897,19:00:00,25:00:00,780,0
38027,05:10:00,19:00:00,660,0
38028,19:00:00,22:10:00,720,0
37966,18:30:00,20:20:00,3600,0
38093,05:00:00,19:00:00,600,0
37972,05:10:00,18:30:00,1620,0
38094,19:00:00,22:00:00,600,0
38218,05:15:00,19:00:00,840,0
38458,19:00:00,21:45:00,2700,0
